pl_name,Max_Sig
11 Com b,99.91876345437667
11 UMi b,71.9745721281559
14 And b,22.884514115898295
14 Her b,859.2745142693354
16 Cyg B b,175.9501780267167
17 Sco b,39.410880287241135
18 Del b,145.15680726563974
24 Sex b,22.993191216708063
30 Ari B b,194.29552596706566
4 UMa b,76.57855335458042
42 Dra b,56.195255011244434
47 UMa b,346.80440594247466
47 UMa c,126.96356677633258
47 UMa d,1272.1641444824565
55 Cnc d,1959.370223977572
6 Lyn b,51.760254360096376
7 CMa b,117.33374401945844
7 CMa c,67.75079586552219
70 Vir b,201.7530301238251
75 Cet b,29.15727692634272
81 Cet b,54.99552610909828
91 Aqr b,34.79149032738474
BD+14 4559 b,28.497122510334314
BD+45 564 b,25.217253878506575
BD+63 1405 b,389.45136143808855
BD-00 4475 b,1159.0749032374545
BD-11 4672 b,82.84657609002642
BD-17 63 b,318.53938614715486
CoRoT-20 c,63.140618182799244
GJ 1148 c,54.32581441819819
GJ 15 A c,468.162158117052
GJ 179 b,443.6298673010475
GJ 3021 b,123.33590968232437
GJ 317 b,432.3367762687495
GJ 317 c,1322.156857692267
GJ 328 b,773.3448618453458
GJ 3512 b,151.7586493072231
GJ 414 A c,29.593334421317188
GJ 433 c,102.97964120154603
GJ 649 b,68.59175919467172
GJ 676 A b,1101.2543688107944
GJ 676 A c,4072.4562257482994
GJ 687 c,35.28754589188701
GJ 832 b,1040.95895903172
GJ 849 b,474.70696269171935
GJ 849 c,891.6366011572775
GJ 86 b,50.6109274616128
GJ 876 b,301.8884693367785
GJ 876 c,62.719824526971045
GJ 9066 b,57.633922356578225
GJ 9066 c,308.09112857700876
HAT-P-11 c,385.1911249980441
HAT-P-13 c,70.90430107688465
HAT-P-17 c,260.57466020275007
HAT-P-44 c,24.789358382901657
HATS-59 c,45.775861412917386
HD 100777 b,26.009673499198566
HD 102329 b,28.467700750001562
HD 102843 b,23.705150452390516
HD 10442 b,21.18048759509812
HD 104985 b,30.45363748568068
HD 106252 b,537.9440974947097
HD 106270 b,255.70979899849172
HD 10647 b,95.8894490131807
HD 106515 A b,1618.449187258167
HD 10697 b,352.1700659732324
HD 108341 b,248.492988239791
HD 108874 b,22.87447698131314
HD 108874 c,46.87472266710717
HD 109286 b,73.11576928735536
HD 110014 b,129.3948013990088
HD 111232 b,587.6907478544879
HD 111591 b,51.1225622375669
HD 111998 b,200.09481192577525
HD 113337 b,65.41481022113265
HD 113538 b,46.04228559731309
HD 113538 c,237.4587634488453
HD 113996 b,59.95752706275854
HD 114386 b,107.96421473071182
HD 114613 b,83.79927957338003
HD 114729 b,46.15190726710086
HD 114762 b,122.41532102335007
HD 114783 b,69.30858086260865
HD 114783 c,160.17244829346217
HD 11506 b,237.67668802459522
HD 115954 b,457.1698170005283
HD 117207 b,209.64369137668675
HD 11755 b,33.042091601374736
HD 11964 b,57.58836560100532
HD 11977 b,106.62078431748303
HD 120084 b,100.480626271
HD 125390 b,412.4338119433872
HD 125612 b,75.159765965303
HD 125612 d,447.0243880423267
HD 12661 b,49.342169682354736
HD 12661 c,126.24458567708731
HD 128311 b,146.89239916813
HD 128311 c,476.3623274656634
HD 128356 b,48.15089405843058
HD 129445 b,92.8601700980023
HD 131496 b,20.127724750080574
HD 131664 b,1253.290360293835
HD 13167 b,81.74129446956321
HD 132406 b,151.54054381232822
HD 132563 b,32.2492065441869
HD 133131 A b,44.04957440720657
HD 133131 A c,44.56352766451064
HD 133131 B b,401.69389286389344
HD 134987 b,45.9499477550214
HD 134987 c,162.85210337341783
HD 136925 b,98.90073878082859
HD 137496 c,66.02938828384576
HD 13908 c,98.31351506256509
HD 13931 b,190.12849715889786
HD 139357 b,145.54203736358207
HD 14067 b,91.38165144397753
HD 141399 c,22.139447404307113
HD 141399 d,59.87021596585675
HD 141399 e,99.13195097480151
HD 141937 b,444.44627468547554
HD 142 b,39.653242176623536
HD 142 c,1134.852435884184
HD 142022 A b,499.0077102791321
HD 142245 b,30.463732720666513
HD 142415 b,54.205029969263315
HD 143361 b,104.64761232035745
HD 145377 b,44.89224366178947
HD 145675 c,6222.848518905548
HD 145934 b,25.212288374394902
HD 147018 c,325.4719183871138
HD 147513 b,113.72608983463341
HD 147873 c,20.810583960543134
HD 148156 b,30.55786541448162
HD 148164 c,329.223998503571
HD 150706 b,596.0117594321517
HD 152079 b,130.7799633209839
HD 153950 b,68.34481863814423
HD 154345 b,235.67666341625898
HD 154672 b,55.78153109070862
HD 154857 b,30.120016769082568
HD 154857 c,121.30315003771413
HD 155233 b,40.429292368768024
HD 155358 c,20.383301135907104
HD 156279 b,189.92714725505573
HD 156279 c,1273.5205115213212
HD 156846 b,259.97658357100113
HD 158996 b,55.51129745319162
HD 159868 b,73.98894232842716
HD 1605 c,105.8825110593094
HD 160691 b,144.4028256746043
HD 160691 c,542.9610229353725
HD 160691 e,27.35208323111558
HD 16175 b,148.2175218959288
HD 162020 b,47.32650058287862
HD 163607 c,66.4520047626469
HD 164604 b,93.50134756118761
HD 164922 b,37.107745859605934
HD 165155 b,50.12503014442837
HD 1666 b,43.00404969741187
HD 166724 b,709.9866194652313
HD 167042 b,25.210766940418885
HD 168443 b,67.63385043096328
HD 168443 c,1236.4018490562307
HD 169830 b,46.20842572856471
HD 169830 c,289.9780024974344
HD 170469 b,21.296915958441165
HD 171028 b,28.588501604079855
HD 171238 b,163.04390316596613
HD 175167 b,282.8523740984572
HD 17674 b,27.52386358043861
HD 178911 B b,55.2943893132937
HD 18015 b,65.0597080598888
HD 180314 b,104.33093283461594
