,pl_name,hostname,discoverymethod,pl_controv_flag,pl_orbper,pl_orbsmax,pl_radj,pl_bmassj,pl_orbeccen,pl_orbincl,pl_tranmid,ttv_flag,pl_rvamp,st_spectype,st_rad,st_mass,rastr,ra,decstr,dec,sy_dist,sy_plx,sy_gaiamag,Rhomax
779,HIP 109384 b,HIP 109384,Radial Velocity,0,499.48,1.134,1.21,1.56,0.549,,,0,56.53,G5,0.83,0.78,22h09m38.15s,332.408972,+71d18m50.24s,71.313956,58.9582,16.9323,9.387981,1694.9509555768357
780,HIP 109600 b,HIP 109600,Radial Velocity,0,232.08,0.706,1.18,2.68,0.163,,,0,98.6,G5,0.97,0.87,22h12m06.50s,333.027079,+29d03m58.35s,29.0662082,66.3361,15.046,9.003861,840.2620041286073
781,HIP 114933 b,HIP 114933,Radial Velocity,0,1481.6,2.84,1.2,1.94,0.21,,,0,28.4,K0 III,5.27,1.39,23h16m49.73s,349.2071949,-21d12m11.92s,-21.2033101,101.766,9.7979,6.97658,1379.1995076042663
782,HIP 12961 b,HIP 12961,Radial Velocity,0,57.435,0.25,1.18,0.36,0.17,,,0,24.7,M0,0.65,0.69,02h46m43.22s,41.6800749,-23d05m09.62s,-23.0860048,23.371,42.7591,9.59893,1097.2192361735904
783,HIP 14810 b,HIP 14810,Radial Velocity,0,6.673892,0.0696,1.16,3.9,0.14399,,,0,423.34,G5,1.07,1.01,03h11m14.23s,47.809275,+21d05m49.67s,21.0971302,50.48,19.781,8.33307,93.82924161341329
784,HIP 14810 c,HIP 14810,Radial Velocity,0,147.747,0.549,1.22,1.31,0.1566,,,0,50.91,G5,1.07,1.01,03h11m14.23s,47.809275,+21d05m49.67s,21.0971302,50.48,19.781,8.33307,739.7719680194217
785,HIP 14810 d,HIP 14810,Radial Velocity,0,981.8,1.94,1.26,0.59,0.185,,,0,12.17,G5,1.07,1.01,03h11m14.23s,47.809275,+21d05m49.67s,21.0971302,50.48,19.781,8.33307,2614.7737014877853
786,HIP 34222 b,HIP 34222,Radial Velocity,0,159.986,0.492,1.24,0.83,0.305,,,0,44.7,K7 V,0.62,0.62,07h05m42.19s,106.4257786,+27d28m13.49s,27.4704132,22.8386,43.7567,9.57701,2387.1318141018714
787,HIP 35173 b,HIP 35173,Radial Velocity,0,41.516,0.217,0.322,0.03996,0.16,,,0,2.8,K2 V,0.77,0.79,07h16m10.78s,109.0449329,-03d39m58.06s,-3.6661273,33.1562,30.1315,8.70829,569.1759519469075
788,HIP 38594 b,HIP 38594,Radial Velocity,0,60.722,0.256,0.247,0.02549,0.17,,,0,1.89,M0,0.63,0.61,07h54m10.54s,118.5439118,-25d18m08.31s,-25.3023073,17.7886,56.1868,9.08528,1624.13230194513
789,HIP 38594 c,HIP 38594,Radial Velocity,0,3477.768,3.805,0.708,0.15228,0.16,,,0,2.89,M0,0.63,0.61,07h54m10.54s,118.5439118,-25d18m08.31s,-25.3023073,17.7886,56.1868,9.08528,24131.87666812588
790,HIP 4845 b,HIP 4845,Radial Velocity,0,34.15,0.176,0.347,0.04531,0.25,,,0,4.05,K7V,0.6,0.62,01h02m21.16s,15.5881733,-10d25m28.63s,-10.4246208,21.0974,47.3703,9.37826,922.9739150119158
791,HIP 48714 b,HIP 48714,Radial Velocity,0,17.818,0.112,0.456,0.07205,0.5,,,0,9.35,M0.5 Ve,0.6,0.58,09h56m07.98s,149.0332672,+62d47m09.42s,62.7859505,10.5298,94.9397,8.22861,1253.0051909762544
792,HIP 5158 b,HIP 5158,Radial Velocity,0,345.72,0.89,1.21,1.42,0.52,,,0,59.05,,0.75,0.78,01h06m02.28s,16.5094891,-22d27m13.01s,-22.4536134,51.6026,19.35,9.80235,1515.3072537740416
793,HIP 5158 c,HIP 5158,Radial Velocity,0,9017.76,7.7,1.09,15.04,0.14,,,0,170.54,,0.75,0.78,01h06m02.28s,16.5094891,-22d27m13.01s,-22.4536134,51.6026,19.35,9.80235,13327.544700384538
794,HIP 54373 b,HIP 54373,Radial Velocity,0,7.76,0.063,0.256,0.02712,0.2,,,0,4.19,K5 V,0.56,0.57,11h07m27.44s,166.8643532,-19d17m30.07s,-19.2916857,18.7168,53.3991,9.64076,409.7434274663263
795,HIP 54373 c,HIP 54373,Radial Velocity,0,15.144,0.099,0.318,0.03914,0.2,,,0,4.84,K5 V,0.56,0.57,11h07m27.44s,166.8643532,-19d17m30.07s,-19.2916857,18.7168,53.3991,9.64076,639.8790859400854
