,pl_name,hostname,discoverymethod,pl_controv_flag,pl_orbper,pl_orbsmax,pl_radj,pl_bmassj,pl_orbeccen,pl_orbincl,pl_tranmid,ttv_flag,pl_rvamp,st_spectype,st_rad,st_mass,rastr,ra,decstr,dec,sy_dist,sy_plx,sy_gaiamag,Rhomax
536,HD 23127 b,HD 23127,Radial Velocity,0,1211.17,2.37,1.21,1.527,0.406,,,0,27.72,G2 V,1.49,1.21,03h39m23.79s,54.8491271,-60d04m38.02s,-60.077229,93.8555,10.6258,8.42019,30.4143761901914
539,HD 233832 b,HD 233832,Radial Velocity,0,2058.0,2.827,1.2,1.78,0.359,,,0,38.29,G0,0.68,0.71,11h26m04.72s,171.5196515,+50d22m34.72s,50.3763099,58.742,16.9952,9.94557,115.08422802965224
540,HD 23596 b,HD 23596,Radial Velocity,0,1561.0,2.77,1.12,9.03,0.27,,,0,127.0,F8 V,1.53,1.47,03h48m00.45s,57.0018601,+40d31m50.63s,40.5307308,52.0018,19.2012,7.10356,337.65999329683933
542,HD 238914 b,HD 238914,Radial Velocity,0,4100.0,5.7,1.14,6.0,0.56,,,0,71.0,K7,12.73,1.47,18h38m20.21s,279.5842102,+59d15m13.97s,59.2538819,519.452,1.89666,8.497,42.75661697833358
545,HD 24040 b,HD 24040,Radial Velocity,0,3668.0,4.92,1.16,3.86,0.04,,2456932.0,0,47.4,G0 V,1.3,1.11,03h50m23.09s,57.5962104,+17d28m31.03s,17.4752873,46.6224,21.4203,7.33476,343.14954496001565
547,HD 24064 b,HD 24064,Radial Velocity,0,535.59998,1.29,1.1,12.89,0.35,,,0,251.0,K0,40.0,1.61,03h56m36.24s,59.1510071,+74d04m48.28s,74.0800789,300.247,3.30181,6.17839,38.50676860153867
549,HD 25015 b,HD 25015,Radial Velocity,0,6019.32,6.19,1.15,4.48,0.39,,,0,60.1,K1 V,0.83,0.86,03h57m44.05s,59.4335463,-20d16m02.40s,-20.2673347,37.433,26.6856,8.59876,818.1052138777923
550,HD 25171 b,HD 25171,Radial Velocity,0,1802.29,2.971,1.24,0.915,0.042,,,0,14.56,F8 V,1.23,1.08,03h55m49.79s,58.9574779,-65d11m10.77s,-65.1863239,55.6146,17.952,7.638,43.243357718556254
552,HD 26161 b,HD 26161,Radial Velocity,0,32000.0,20.4,1.1,13.5,0.82,,2460540.0,0,140.0,,1.46,1.13,04h09m38.93s,62.4122255,+31d39m08.76s,31.6524346,40.9128,24.4134,6.7427,5727.196763282648
555,HD 27442 b,HD 27442,Radial Velocity,0,428.1,1.271,1.21,1.56,0.06,,,0,32.2,K1/2III,3.18,1.23,04h16m28.93s,64.1205476,-59d18m10.36s,-59.3028771,18.2704,54.7051,4.14532,78.92655352277653
556,HD 27631 b,HD 27631,Radial Velocity,0,2198.14,3.242,1.21,1.494,0.141,,,0,24.51,G3 IV-V,0.92,0.94,04h19m45.41s,64.9392168,-41d57m38.38s,-41.9606604,50.2862,19.8573,8.08478,97.7852381899158
559,HD 27894 d,HD 27894,Radial Velocity,0,5174.0,5.448,1.14,5.415,0.389,,,0,79.76,K2 V,0.89,0.8,04h20m47.42s,65.1975693,-59d24m34.84s,-59.4096776,43.8214,22.791,9.06573,801.3513417908694
560,HD 27969 b,HD 27969,Radial Velocity,0,654.5,1.552,1.15,4.8,0.182,,,0,103.6,G0 V,1.27,1.16,04h26m49.64s,66.7068364,+42d54m31.39s,42.90872,67.9328,14.692,7.5139,90.13276287470627
561,HD 28185 b,HD 28185,Radial Velocity,0,379.0,1.02,1.14,5.9,0.05,,2455438.7,0,163.5,G5,1.03,1.02,04h26m26.41s,66.6100461,-10d33m03.87s,-10.5510754,39.3809,25.3642,7.62682,144.65900159857506
562,HD 28254 b,HD 28254,Radial Velocity,0,1116.0,2.15,1.22,1.16,0.81,,,0,37.3,G1 IV/V,1.48,1.06,04h24m50.60s,66.2108141,-50d37m22.11s,-50.6228081,55.2884,18.0581,7.49977,40.56479390693144
566,HD 29021 b,HD 29021,Radial Velocity,0,1362.3,2.28,1.18,2.4,0.459,,,0,56.4,G5,0.85,0.85,04h37m52.35s,69.4681379,+60d40m34.67s,60.6762985,30.9939,32.2355,7.58565,198.1180501204066
567,HD 290327 b,HD 290327,Radial Velocity,0,2443.0,3.43,1.18,2.43,0.08,,,0,41.3,G8 V,0.95,0.84,05h23m21.60s,80.8399887,-02d16m40.94s,-2.2780391,56.433,17.6913,8.80364,163.9038334677446
568,HD 29399 b,HD 29399,Radial Velocity,0,892.7,1.913,1.21,1.57,0.05,,,0,29.9,K1 III,4.5,1.17,04h33m33.68s,68.3903471,-62d49m25.53s,-62.8237576,44.1518,22.6204,5.50503,55.4690417981843
570,HD 30177 b,HD 30177,Radial Velocity,0,2527.83,3.704,1.12,8.622,0.162,,,0,125.98,G8 V,1.02,1.05,04h41m54.50s,70.4770964,-58d01m14.91s,-58.0208085,55.5867,17.9611,8.21511,520.510186776704
571,HD 30177 c,HD 30177,Radial Velocity,0,11613.0,9.89,1.13,7.6,0.22,,,0,70.8,G8 V,1.18,0.99,04h41m54.50s,70.4770964,-58d01m14.91s,-58.0208085,55.5867,17.9611,8.21511,1318.667723113123
572,HD 30562 b,HD 30562,Radial Velocity,0,1157.0,2.34,1.22,1.22,0.76,,,0,33.7,F8 V,1.61,1.12,04h48m36.71s,72.1529519,-05d40m30.41s,-5.6751152,26.1597,38.1981,5.61828,89.03422728500672
581,HD 32963 b,HD 32963,Radial Velocity,0,2372.0,3.41,1.25,0.7,0.07,,2455371.0,0,11.1,G5,1.11,0.94,05h07m55.68s,76.9820146,+26d19m39.65s,26.3276805,38.0786,26.2328,7.42756,63.65435799959543
583,HD 331093 b,HD 331093,Radial Velocity,0,621.62,1.44,1.21,1.5,0.59,0.37,,0,43.65,K0,1.11,1.03,19h42m28.80s,295.6200054,+31d44m22.36s,31.7395451,50.1928,19.8943,8.19105,39.871385430195936
585,HD 33142 c,HD 33142,Radial Velocity,0,834.0,,1.14,5.97,0.05,,,0,11.4,K0 III,4.14,1.62,05h07m35.53s,76.8980559,-13d59m10.81s,-13.9863374,121.375,8.21025,7.71274,59.0244797040951
587,HD 33564 b,HD 33564,Radial Velocity,0,388.0,1.1,1.12,9.1,0.34,,,0,232.0,F6 V,1.44,1.25,05h22m33.10s,80.6378979,+79d13m54.66s,79.2318488,20.9531,47.6977,4.97155,371.9581703903093
590,HD 34445 b,HD 34445,Radial Velocity,0,1049.0,2.07,1.24,0.82,0.27,,2454809.0,0,15.7,G0 V,1.38,1.14,05h17m40.98s,79.4207483,+07d21m09.78s,7.3527156,46.0907,21.6675,7.14947,31.44373487489156
595,HD 34445 g,HD 34445,Radial Velocity,0,5700.0,6.36,1.21,0.38,0.032,,,0,4.08,G0 V,1.38,1.07,05h17m40.98s,79.4207483,+07d21m09.78s,7.3527156,46.0907,21.6675,7.14947,46.98048274588933
600,HD 37124 c,HD 37124,Radial Velocity,0,885.5,1.71,1.25,0.652,0.125,,2454937.0,0,15.4,G4 V,0.95,0.85,05h37m02.40s,84.2599947,+20d43m44.32s,20.7289784,31.6634,31.5536,7.47238,39.532675834748254
601,HD 37124 d,HD 37124,Radial Velocity,0,1862.0,2.807,1.25,0.696,0.16,,2454455.0,0,12.8,G4 V,0.95,0.85,05h37m02.40s,84.2599947,+20d43m44.32s,20.7289784,31.6634,31.5536,7.47238,69.26471390327019
603,HD 37605 c,HD 37605,Radial Velocity,0,2720.0,3.74,1.17,3.19,0.03,,,0,48.51,K0,0.91,0.94,05h40m01.78s,85.0074276,+06d03m34.24s,6.0595116,46.7864,21.345,8.46192,258.6534209363739
607,HD 38529 c,HD 38529,Radial Velocity,0,2136.1,3.64,1.1,12.99,0.3407,,2454612.6,0,172.4,G4 IV,2.56,1.41,05h46m34.83s,86.6451363,+01d10m03.31s,1.1675866,42.3538,23.5819,5.74796,755.7965484071285
608,HD 38801 b,HD 38801,Radial Velocity,0,685.25,1.623,1.11,9.698,0.017,,,0,197.29,K0,2.03,1.21,05h47m59.12s,86.9963141,-08d19m40.89s,-8.3280256,91.4349,10.908,8.03397,135.63310994528524
609,HD 39091 b,HD 39091,Radial Velocity,0,2093.07,3.1,1.1,12.9,0.637,50.8,,0,192.6,G0 V,1.1,1.09,05h37m11.83s,84.2992798,-80d27m52.57s,-80.4646041,18.2702,54.7052,5.5128,2037.8443387624752
620,HD 40979 b,HD 40979,Radial Velocity,0,264.14999,0.85,1.15,4.67,0.25,,2452405.1,0,119.4,F8 V,1.21,1.45,06h04m30.08s,91.1253346,+44d15m35.23s,44.2597855,34.0883,29.3067,6.59963,82.24691527944506
621,HD 41004 A b,HD 41004 A,Radial Velocity,0,963.0,,1.18,2.54,0.74,,,0,99.0,K1/K2 V,0.85,0.95,05h59m49.58s,89.9566041,-48d14m21.91s,-48.2394189,36.69117,27.2545,,130.50497743720643
623,HD 4113 b,HD 4113,Radial Velocity,0,526.62,1.28,1.21,1.56,0.903,,,0,97.1,G5,1.08,0.99,00h43m12.66s,10.8027515,-37d58m59.25s,-37.9831248,41.8727,23.8531,7.71051,45.69355214819496
