,pl_name,hostname,discoverymethod,pl_controv_flag,pl_orbper,pl_orbsmax,pl_radj,pl_bmassj,pl_orbeccen,pl_orbincl,pl_tranmid,ttv_flag,pl_rvamp,st_spectype,st_rad,st_mass,rastr,ra,decstr,dec,sy_dist,sy_plx,sy_gaiamag,Rhomax
745,HD 92987 b,HD 92987,Radial Velocity,0,10354.8375,9.62,1.09,16.88,0.21,,,0,152.7,G2/G3 V,1.58,1.08,10h43m36.30s,160.9012407,-39d03m30.19s,-39.0583857,43.5339,22.9417,6.85987,3269.2219474890817
752,HD 94834 b,HD 94834,Radial Velocity,0,1576.0,2.74,1.22,1.26,0.14,,,0,20.7,K0,4.2,1.11,10h57m15.03s,164.3126363,+24d08m34.57s,24.1429374,98.1609,10.1591,7.30241,30.292887565523433
754,HD 95089 c,HD 95089,Radial Velocity,0,1785.0,3.33,1.17,3.45,0.284,,,0,45.1,G8/K0 IV,5.08,1.54,10h58m47.70s,164.698748,+01d43m44.43s,1.7290087,136.957,7.27501,7.66056,51.92775592837218
757,HD 95544 b,HD 95544,Radial Velocity,0,2172.0,3.386,1.13,6.84,0.043,,,0,101.5,G3 V,1.09,1.09,11h05m17.56s,166.3231784,+81d02m20.35s,81.0389868,87.8049,11.36,8.210671,230.4513875423321
758,HD 95735 c,GJ 411,Radial Velocity,0,3190.0,3.1,0.396,0.0568,0.14,,2457440.0,0,1.49,M1.5 V,0.37,0.39,11h03m20.27s,165.834471,+35d58m20.34s,35.972317,5.675773,392.4,,75.89745688848275
759,HD 95872 b,HD 95872,Radial Velocity,0,4375.0,5.15,1.16,3.74,0.06,,,0,59.0,K0 V,0.84,0.7,11h03m27.81s,165.8658796,-22d05m39.59s,-22.0943303,72.2195,13.8178,9.65278,328.26419071498105
769,HD 98649 b,HD 98649,Radial Velocity,0,6022.9725,6.57,1.13,6.79,0.86,,,0,140.1,G3/G5 V,1.01,1.03,11h20m51.54s,170.2147665,-23d13m05.18s,-23.2181063,42.1727,23.6832,7.82889,976.2790434336124
770,HD 98736 b,HD 98736,Radial Velocity,0,968.8,1.864,1.19,2.33,0.226,,,0,52.0,G5,0.93,0.92,11h21m49.18s,170.4549045,+18d11m22.59s,18.1896082,32.4459,30.7918,7.75446,138.86094388065447
775,HD 99706 c,HD 99706,Radial Velocity,0,1278.0,,1.14,5.69,0.411,,,0,13.8,K0,5.4,1.72,11h28m30.28s,172.1261621,+43d57m58.33s,43.9662025,146.6,6.79293,7.37747,59.48393001272533
776,HIP 105854 b,HIP 105854,Radial Velocity,0,184.2,0.81,1.12,8.2,0.02,,,0,178.1,K2 III,10.31,2.1,21h26m23.09s,321.5962275,-37d49m46.12s,-37.8294782,78.6381,12.6896,5.28614,38.4574799472016
779,HIP 109384 b,HIP 109384,Radial Velocity,0,499.48,1.134,1.21,1.56,0.549,,,0,56.53,G5,0.83,0.78,22h09m38.15s,332.408972,+71d18m50.24s,71.313956,58.9582,16.9323,9.387981,36.72393707015555
780,HIP 109600 b,HIP 109600,Radial Velocity,0,232.08,0.706,1.18,2.68,0.163,,,0,98.6,G5,0.97,0.87,22h12m06.50s,333.027079,+29d03m58.35s,29.0662082,66.3361,15.046,9.003861,31.276414041546996
781,HIP 114933 b,HIP 114933,Radial Velocity,0,1481.6,2.84,1.2,1.94,0.21,,,0,28.4,K0 III,5.27,1.39,23h16m49.73s,349.2071949,-21d12m11.92s,-21.2033101,101.766,9.7979,6.97658,37.161751129285705
789,HIP 38594 c,HIP 38594,Radial Velocity,0,3477.768,3.805,0.708,0.15228,0.16,,,0,2.89,M0,0.63,0.61,07h54m10.54s,118.5439118,-25d18m08.31s,-25.3023073,17.7886,56.1868,9.08528,51.038907306850135
793,HIP 5158 c,HIP 5158,Radial Velocity,0,9017.76,7.7,1.09,15.04,0.14,,,0,170.54,,0.75,0.78,01h06m02.28s,16.5094891,-22d27m13.01s,-22.4536134,51.6026,19.35,9.80235,2783.975825995334
796,HIP 56640 b,HIP 56640,Radial Velocity,0,2574.9,3.73,1.16,3.67,0.12,,,0,53.3,K1 III,4.93,1.04,11h36m48.21s,174.2008941,-37d02m20.89s,-37.0391349,122.324,8.14632,7.64993,102.57907801055501
804,HIP 65891 b,HIP 65891,Radial Velocity,0,1084.5,2.81,1.14,6.0,0.13,,,0,64.9,K0 III,8.93,2.5,13h30m25.22s,202.6050857,-58d39m51.82s,-58.6643937,150.292,6.62493,6.48224,42.739382649360884
805,HIP 67537 b,HIP 67537,Radial Velocity,0,2556.5,4.91,1.11,11.1,0.59,,,0,112.7,K1 III,8.69,2.41,13h50m19.40s,207.5808445,-39d54m03.24s,-39.9008996,116.046,8.58881,6.17087,185.86537627575598
807,HIP 67851 c,HIP 67851,Radial Velocity,0,2131.8,3.82,1.14,6.3,0.17,,,0,69.0,K0 III,5.92,1.63,13h53m51.69s,208.465364,-35d18m52.75s,-35.3146536,64.1181,15.5674,5.89329,219.5258439132508
808,HIP 70849 b,HIP 70849,Radial Velocity,0,17337.5,20.25,1.12,9.0,0.715,,,0,235.0,K7 V,0.63,0.63,14h29m18.50s,217.3270762,-46d27m52.86s,-46.464684,24.0572,41.5387,9.69796,6370.612483422026
810,HIP 74890 b,HIP 74890,Radial Velocity,0,822.3,2.1,1.18,2.4,0.07,,,0,36.5,K1 III,5.77,1.74,15h18m17.16s,229.5714974,-41d25m15.95s,-41.4210961,78.6562,12.6848,6.75234,34.584814612165744
811,HIP 75092 b,HIP 75092,Radial Velocity,0,926.4,2.02,1.2,1.79,0.42,,,0,34.8,K0 III,4.53,1.28,15h20m41.38s,230.1724206,-25d59m27.79s,-25.9910525,81.6696,12.2161,6.82953,33.00689362638098
812,HIP 79431 b,HIP 79431,Radial Velocity,0,111.7,0.36,1.19,2.1,0.29,,,0,149.5,M3 V,0.48,0.49,16h12m41.82s,243.1742467,-18d52m35.13s,-18.8764247,14.5324,68.7833,10.2351,100.74104482651566
813,HIP 8541 b,HIP 8541,Radial Velocity,0,1560.2,2.8,1.14,5.5,0.16,,,0,87.4,K2 III/IV,7.83,1.17,01h50m06.53s,27.5271962,-54d27m54.59s,-54.4651633,155.121,6.41777,7.56075,80.2493517690986
818,HIP 97233 b,HIP 97233,Radial Velocity,0,1058.8,2.55,1.08,20.0,0.61,,,0,320.1,K0,5.34,1.93,19h45m41.31s,296.4221207,-00d41m48.77s,-0.6968794,102.275,9.74888,7.07025,244.8225536988695
819,HR 5183 b,HR 5183,Radial Velocity,0,27000.0,18.0,1.17,3.23,0.84,,2458960.0,0,38.25,G0 V,1.53,1.07,13h46m56.59s,206.7357992,+06d20m59.64s,6.3498994,31.4607,31.7568,6.17464,1650.0881172631543
820,HR 810 b,HR 810,Radial Velocity,0,302.79999,0.92,1.19,2.27,0.14,,,0,57.1,G0V,1.13,1.34,02h42m34.01s,40.6417178,-50d47m57.65s,-50.7993484,17.3181,57.7143,5.25587,90.8474677895937
824,KELT-6 c,KELT-6,Radial Velocity,0,1276.0,2.39,1.16,3.71,0.21,,,0,65.7,F8,1.53,1.13,13h03m55.64s,195.9818362,+30d38m24.52s,30.640145,240.726,4.1255,10.1934,31.221390394632074
826,Kepler-129 d,Kepler-129,Radial Velocity,0,2646.0,4.0,1.12,8.3,0.15,,,0,106.0,G4 V,1.65,1.18,19h01m14.68s,285.3111845,+47d50m54.52s,47.8484775,408.845,2.41732,11.6437,64.97472705484978
830,Kepler-407 c,Kepler-407,Radial Velocity,0,3000.0,,1.1,12.6,,,,0,164.0,,1.01,1.0,19h04m08.71s,286.0363025,+49d36m52.21s,49.6145027,338.368,2.92662,12.5074,144.7044145396084
839,Kepler-93 c,Kepler-93,Radial Velocity,0,1460.0,,,3.0,,,,0,60.0,,0.92,0.91,19h25m40.35s,291.4181275,+38d40m20.32s,38.6723124,95.9115,10.3974,9.86249,80.08381118429364
840,Kepler-94 c,Kepler-94,Radial Velocity,0,820.3,,1.11,9.836,,,,0,262.7,M0 V,0.76,0.81,18h44m46.74s,281.1947316,+47d29m50.14s,47.4972606,191.904,5.1821,12.8567,96.56343045178245
851,Pr0211 c,Pr0211,Radial Velocity,0,4850.0,5.5,1.12,7.79,0.71,,,0,138.0,,0.83,0.94,08h42m11.46s,130.547744,+19d16m37.05s,19.276957,182.714,5.44431,11.9281,237.82712077318376
870,WASP-53 c,WASP-53,Radial Velocity,0,2840.0,3.73,,16.35,0.8369,,,0,475.6,,0.8,0.84,02h07m38.20s,31.9091639,-20d39m42.63s,-20.661843,201.338,4.9381,12.3473,341.7467979203177
871,WASP-8 c,WASP-8,Radial Velocity,0,4323.0,5.28,1.12,9.45,0.0,,,0,115.0,G8 V,0.99,1.04,23h59m36.21s,359.9008737,-35d01m52.81s,-35.0313349,89.9606,11.0873,9.61249,507.34172217090696
881,alf Ari b,alf Ari,Radial Velocity,0,380.8,1.2,1.2,1.8,0.25,,,0,41.1,K2III,13.9,1.5,02h07m10.39s,31.793286,+23d27m44.72s,23.462421,20.21019,49.48,,66.71020590480394
882,alf Tau b,alf Tau,Radial Velocity,0,628.96,1.46,1.13,6.47,0.1,,,0,142.1,K5 III,45.1,1.13,04h35m55.24s,68.980174,+16d30m33.12s,16.509201,20.4332,48.94,,400.2678069715742
883,bet Cnc b,bet Cnc,Radial Velocity,0,605.2,1.7,1.12,7.8,0.08,,,0,133.0,K4 III,47.2,1.7,08h16m30.87s,124.1286379,+09d11m07.19s,9.1853306,89.0472,11.23,3.04628,82.19792263151118
884,bet Pic c,bet Pic,Radial Velocity,0,1200.0,2.7,1.12,9.0,0.24,90.0,,0,,A5V,2.01,1.75,05h47m17.10s,86.8212337,-51d03m58.13s,-51.066148,19.7442,50.6231,3.82015,662.1934905204683
885,bet UMi b,bet UMi,Radial Velocity,0,522.3,1.4,1.14,6.1,0.19,,,0,126.1,K4 III,38.3,1.4,14h50m42.36s,222.676495,+74d09m19.97s,74.155548,38.77472,25.79,,152.310136810622
886,eps CrB b,eps CrB,Radial Velocity,0,417.9,1.3,1.13,6.7,0.11,,,0,129.4,K2 III,21.0,1.7,15h57m35.16s,239.3965057,+26d52m39.42s,26.8776171,69.8683,14.2898,3.75773,70.30130204195501
887,eps Eri b,eps Eri,Radial Velocity,0,2690.0,3.5,1.24,0.78,0.07,89.0,2457388.0,0,18.5,K2.0V,0.76,0.78,03h32m54.82s,53.2284306,-09d27m29.42s,-9.4581715,3.2026,312.219,3.47719,1038.60404362712
888,eps Ind A b,eps Ind A,Radial Velocity,0,16510.0,11.55,1.17,3.25,0.26,64.25,,0,29.22,K2 V,0.78,0.75,22h03m29.14s,330.8714021,-56d47m48.85s,-56.7969023,3.63857,274.805,4.34562,13106.787725138673
889,eps Tau b,eps Tau,Radial Velocity,0,594.9,1.93,1.13,7.6,0.151,,,0,95.9,K0 III,13.7,2.7,04h28m37.12s,67.1546573,+19d10m49.00s,19.1802782,47.52852,21.04,3.27298,108.9764424661348
890,gam 1 Leo b,gam 1 Leo,Radial Velocity,0,428.5,1.19,1.12,8.78,0.144,,,0,208.3,K1 IIIb Fe-0.5,31.88,1.23,10h19m58.37s,154.993208,+19d50m29.00s,19.841389,39.8883,25.07,,203.5944439302332
891,gam Cep b,gam Cep,Radial Velocity,0,903.3,2.05,1.12,9.4,0.049,,,0,31.1,K1 IV,4.9,1.4,23h39m20.60s,354.8358233,+77d37m59.16s,77.6331009,14.1024,70.91,2.92627,929.8020514645024
893,gam Lib c,gam Lib,Radial Velocity,0,964.6,2.17,1.15,4.58,0.057,,,0,73.0,K0 III,11.1,1.47,15h35m31.65s,233.8818636,-14d47m22.21s,-14.789502,47.4017,21.0823,3.64937,136.30486604181192
894,gam Psc b,gam Psc,Radial Velocity,0,555.1,1.32,1.22,1.34,0.204,,,0,34.0,G7 III,11.2,0.99,23h17m10.72s,349.2946794,+03d16m56.52s,3.2823664,41.3107,24.1899,3.41425,41.20527158337547
895,iot Dra b,iot Dra,Radial Velocity,0,511.098,1.275,1.12,8.82,0.7124,,,0,307.6,K2 III,12.57,1.05,15h24m55.76s,231.2323227,+58d57m58.11s,58.9661403,31.32832,31.92,2.96828,325.45756997027
896,kap CrB b,kap CrB,Radial Velocity,0,1285.0,2.65,1.19,2.0,0.167,60.0,,0,26.18,K0 III-IV,4.85,1.5,15h51m13.92s,237.8080012,+35d39m21.17s,35.6558818,30.0651,33.2328,4.52428,112.09728931283279
897,mu Leo b,mu Leo,Radial Velocity,0,357.8,1.1,1.18,2.4,0.09,,,0,52.0,K2 III,11.4,1.5,09h52m45.57s,148.1898673,+26d00m24.17s,26.0067142,32.6081,30.6493,3.52769,52.88570227896646
898,nu Oph b,nu Oph,Radial Velocity,0,530.21,1.79,1.07,22.206,0.124,90.0,,0,288.26,K0 III,14.6,2.7,17h59m01.58s,269.7566013,-09d46m26.88s,-9.7741342,46.2107,21.64,3.09653,303.29859252199196
899,nu Oph c,nu Oph,Radial Velocity,0,3184.83,5.931,1.07,24.662,0.18,90.0,,0,176.73,K0 III,14.6,2.7,17h59m01.58s,269.7566013,-09d46m26.88s,-9.7741342,46.2107,21.64,3.09653,1113.065157103742
902,omi UMa b,omi UMa,Radial Velocity,0,1630.0,3.9,1.16,4.1,0.13,,,0,33.6,G5 III,14.1,3.09,08h30m15.59s,127.5649503,+60d43m03.74s,60.7177048,54.9149,18.21,3.14432,91.06107760250248
903,psi 1 Dra B b,psi 1 Dra B,Radial Velocity,0,3117.0,4.43,1.21,1.53,0.4,,,0,21.0,G0 V,1.26,1.19,17h41m58.22s,265.4925754,+72d09m20.56s,72.1557114,22.7188,43.9875,5.64766,239.06668571540123
911,tau Gem b,tau Gem,Radial Velocity,0,305.5,1.17,1.08,20.6,0.031,,,0,350.2,K2 III,26.8,2.3,07h11m08.33s,107.7847232,+30d14m41.84s,30.2449545,112.537,8.87786,4.03996,89.02539479803396
913,ups And c,ups And,Radial Velocity,0,241.258,0.827774,1.1,13.98,0.2596,,2455133.7,0,68.14,F8 V,1.56,1.3,01h36m47.60s,24.1983534,+41d24m13.73s,41.4038147,13.4054,74.5711,3.98687,633.8786594351017
914,ups And d,ups And,Radial Velocity,0,1276.46,2.51329,1.11,10.25,0.2987,,2453360.6,0,56.26,F8 V,1.56,1.3,01h36m47.60s,24.1983534,+41d24m13.73s,41.4038147,13.4054,74.5711,3.98687,1411.14936963919
